Index Level :;Price
Currency :;Local
;
;
Date;DENMARK Standard (Large+Mid Cap) 
dec 31, 1969;100,000
jan 30, 1970;100,202
feb 27, 1970;98,297
mar 31, 1970;95,519
apr 30, 1970;91,589
maj 29, 1970;87,684
jun 30, 1970;87,419
jul 31, 1970;83,824
aug 31, 1970;87,926
sep 30, 1970;84,603
okt 30, 1970;86,313
nov 30, 1970;87,196
dec 31, 1970;87,686
jan 29, 1971;88,315
feb 26, 1971;85,748
mar 31, 1971;82,565
apr 30, 1971;82,439
maj 31, 1971;81,247
jun 30, 1971;81,191
jul 30, 1971;85,059
aug 31, 1971;86,495
sep 30, 1971;85,969
okt 29, 1971;85,259
nov 30, 1971;82,358
dec 31, 1971;85,022
jan 31, 1972;88,938
feb 29, 1972;91,706
mar 31, 1972;90,585
apr 28, 1972;96,165
maj 31, 1972;103,610
jun 30, 1972;114,180
jul 31, 1972;115,919
aug 31, 1972;117,310
sep 29, 1972;121,298
okt 31, 1972;143,640
nov 30, 1972;151,374
dec 29, 1972;166,469
jan 31, 1973;186,498
feb 28, 1973;176,744
mar 30, 1973;174,002
apr 30, 1973;178,438
maj 31, 1973;180,969
jun 29, 1973;188,624
jul 31, 1973;187,408
aug 31, 1973;185,032
sep 28, 1973;175,594
okt 31, 1973;172,851
nov 30, 1973;153,369
dec 31, 1973;155,691
jan 31, 1974;153,157
feb 28, 1974;149,129
mar 29, 1974;134,021
apr 30, 1974;133,256
maj 31, 1974;131,064
jun 28, 1974;126,975
jul 31, 1974;119,940
aug 30, 1974;110,685
sep 30, 1974;114,365
okt 31, 1974;113,936
nov 29, 1974;109,201
dec 31, 1974;117,584
jan 31, 1975;124,207
feb 28, 1975;126,265
mar 31, 1975;119,415
apr 30, 1975;130,431
maj 30, 1975;135,427
jun 30, 1975;133,708
jul 31, 1975;138,490
aug 29, 1975;139,372
sep 30, 1975;139,853
okt 31, 1975;146,174
nov 28, 1975;148,717
dec 31, 1975;151,748
jan 30, 1976;161,351
feb 27, 1976;155,880
mar 31, 1976;152,643
apr 30, 1976;152,148
maj 31, 1976;158,338
jun 30, 1976;163,963
jul 30, 1976;165,411
aug 31, 1976;163,511
sep 30, 1976;154,651
okt 29, 1976;149,097
nov 30, 1976;142,214
dec 31, 1976;145,179
jan 31, 1977;146,973
feb 28, 1977;153,438
mar 31, 1977;154,676
apr 29, 1977;154,082
maj 31, 1977;152,970
jun 30, 1977;152,139
jul 29, 1977;146,997
aug 31, 1977;148,955
sep 30, 1977;148,697
okt 31, 1977;147,415
nov 30, 1977;141,134
dec 30, 1977;141,206
jan 31, 1978;141,291
feb 28, 1978;143,312
mar 31, 1978;139,666
apr 28, 1978;136,992
maj 31, 1978;137,617
jun 30, 1978;137,671
jul 31, 1978;141,276
aug 31, 1978;141,688
sep 29, 1978;136,762
okt 31, 1978;129,438
nov 30, 1978;132,093
dec 29, 1978;128,802
jan 31, 1979;136,047
feb 28, 1979;136,417
mar 30, 1979;137,192
apr 30, 1979;137,873
maj 31, 1979;135,027
jun 29, 1979;133,316
jul 31, 1979;136,118
aug 31, 1979;133,880
sep 28, 1979;129,254
okt 31, 1979;127,409
nov 30, 1979;126,756
dec 31, 1979;123,911
jan 31, 1980;119,936
feb 29, 1980;115,197
mar 31, 1980;111,123
apr 30, 1980;110,508
maj 30, 1980;110,982
jun 30, 1980;113,575
jul 31, 1980;119,690
aug 29, 1980;122,185
sep 30, 1980;132,662
okt 31, 1980;151,696
nov 28, 1980;150,667
dec 31, 1980;153,214
jan 30, 1981;167,376
feb 27, 1981;169,900
mar 31, 1981;174,676
apr 30, 1981;184,039
maj 29, 1981;193,638
jun 30, 1981;209,689
jul 31, 1981;207,607
aug 31, 1981;211,775
